[1] государь | 名词 | 君主；沙皇（旧称）；陛下（尊称）
[513] отвсейдуши | 其他 | 衷心地；发自内心（от всей души）
[514] отборпроб | 名词 | 取样；抽样（отбор проб）
[515] ответитьвсем | 动词 | 回复所有人（ответить всем）
[516] отделкадров | 名词 | 人事科（отдел кадров）
[517] открытьаккредитив | 动词 | 开立信用证（открыть аккредитив）
[518] отправитьфакс | 动词 | 发传真（отправить факс）
[519] отправитьсявотпуск | 动词 | 去度假（отправиться в отпуск）
[520] отправленуспешно | 其他 | 发送成功（отправлено успешно）
[521] отпускпоболезни | 名词 | 病假（отпуск по болезни）
[522] отпускподелам | 名词 | 事假（отпуск по делам）
[523] отчего-то | 其他 | 不知为何；因为某种原因（отчего-то）
[524] ошибитьсяномером | 动词 | 拨错号（ошибиться номером）
[525] пакетныйтур | 名词 | 包价游；套餐游（пакетный тур）
[526] паркихэюань | 专有名词 | 颐和园（парк Ихэюань）
[527] переводнойвексель | 名词 | 汇票（переводной вексель）
[528] передатьдела | 动词 | 移交工作（передать дела）
[529] передаться | 动词 | 传给；感染；传达
[530] переноситьполет | 动词 | 改签航班（переносить полёт）
[531] пересдача | 名词 | 重考；补考；重交
[532] переченьмероприятий | 名词 | 活动清单（перечень мероприятий）
[533] питьчай | 动词 | 喝茶（пить чай）
[534] планработы | 名词 | 工作计划（план работы）
[535] платазаобучение | 名词 | 学费（плата за обучение）
[536] платежсаккредитива | 名词 | 信用证付款（платёж с аккредитива）
[537] покольцу | 副词 | 沿环线（по кольцу）
[538] пообразованию | 其他 | 按学历；所学专业（по образованию）
[539] поповодучего | 前置词 | 关于； concerning（по поводу чего）
[540] посравнениюс | 前置词 | 与…相比（по сравнению с）
[541] по-ихнему | 副词 | 按他们的方式；用他们的语言
[542] поболтатьсколлегами | 动词 | 和同事闲聊（поболтать с коллегами）
[543] повесткадня | 名词 | 议程（повестка дня）
[544] повышатьзарплату | 动词 | 涨工资（повышать зарплату）
[545] пограничныйконтроль | 名词 | 边防检查（пограничный контроль）
[546] пограничныйпереход | 名词 | 边境口岸（пограничный переход）
[547] подключ | 其他 | 词形残缺，待人工核对
[548] подешевле | 副词 | 便宜点（подешевле）
[549] поднятьзарплату | 动词 | 提高工资（поднять зарплату）
[550] поехатьвотпуск | 动词 | 去度假（поехать в отпуск）
[551] пойматьтакси | 动词 | 拦出租车（поймать такси）
[552] пойтинауступку | 动词 | 让步（пойти на уступку）
[553] пойтинавстречу | 动词 | 迎接；迎合（пойти навстречу）
[554] покажите | 动词 | 请出示；给看（命令式）
[555] пол-литра | 数词 | 半升（пол-литра）
[556] полезть | 动词 | 爬；钻进
[557] полкило | 数词 | 半公斤（полкило）
[558] полкилограмма | 数词 | 半公斤（полкилограмма）
[559] полнедели | 数词 | 半周；三天半（полнедели）
[560] полстраницы | 数词 | 半页（полстраницы）
[561] полторы | 数词 | 一个半（полторы，阴性/复数）
[562] полуанекдот | 名词 | 半笑话；近似笑话（полуанекдот）
[563] получениебагажа | 名词 | 领取行李（получение багажа）
[564] получитьфакс | 动词 | 收到传真（получить факс）
[565] полчасика | 数词 | 半小时左右（полчасика）
[566] помоги | 动词 | 帮帮我（命令式）
[567] поподробнее | 副词 | 更详细些（поподробнее）
[568] пополниться | 动词 | 充实；补充
[569] портназначения | 名词 | 目的港（порт назначения）
[570] портотгрузки | 名词 | 起运港（порт отгрузки）
[571] посадочныйталон | 名词 | 登机牌（посадочный талон）
[572] послеобеда | 副词 | 午后；下午（после обеда）
[573] поставитьтовар | 动词 | 供货；交付货物（поставить товар）
[574] поставкапартиями | 名词 | 分批供货（поставка партиями）
[575] потомучто | 连词 | 因为（потому что）
[576] почерстветь | 动词 | 变硬；变得冷漠
[577] почтовыйящик | 名词 | 邮箱；信箱（почтовый ящик）
[578] праздниквесны | 名词 | 春节；春之节（праздник весны）
[579] праздниклуны | 名词 | 中秋节（праздник луны）
[580] предварительнаяцена | 名词 | 预售价格；初步报价（предварительная цена）
[581] предъявитьпаспорт | 动词 | 出示护照（предъявить паспорт）
[582] преждевсего | 其他 | 首先；尤其是（прежде всего）
[583] престижныйресторан | 名词 | 高档餐厅（престижный ресторан）
[584] приотъезде | 副词 | 临行时；出发时（при отъезде）
[585] прибавитьзарплату | 动词 | 加薪（прибавить зарплату）
[586] пригодиться | 动词 | 有用；派上用场
[587] пригрозить | 动词 | 威胁；恐吓
[588] прикрепитьфайл | 动词 | 附件；贴文件（прикрепить файл）
[589] приниматьприглашение | 动词 | 接受邀请（принимать приглашение）
[590] приниматьучастие | 动词 | 参加；参与（принимать участие）
[591] принимающаясторона | 名词 | 接待方；主办方（принимающая сторона）
[592] принятькрассмотрению | 动词 | 受理；审议（принять к рассмотрению）
[593] приобрестибилет | 动词 | 购票（приобрести билет）
[594] приревновать | 动词 | 吃醋；猜忌
[595] причальныйсбор | 名词 | 靠泊费（причальный сбор）
[596] приемзаказов | 名词 | 接单；受理订单（приём заказов）
[597] пробасить | 动词 | 用低音说；低沉地说
[598] провестиотпуск | 动词 | 度过假期（провести отпуск）
[599] проводитьдосмотр | 动词 | 进行检查；查验（проводить досмотр）
[600] проделать | 动词 | 做完；钻出；穿透
