[1] продлитьпребывание | 动词 | 延长停留（продлить пребывание）
[393] яемборщ | 其他 | 我在喝罗宋汤（я ем борщ，合并碎片，待核）
[394] яемсалат | 其他 | 我在吃沙拉（я ем салат，合并碎片，待核）
[395] язавтракаю | 其他 | 我在吃早餐（я завтракаю，合并短语）
[396] янееммясомолоко | 其他 | 我不吃肉和奶（я не ем мясо, молоко，合并碎片，待核）
[397] яобедаю | 其他 | 我在吃午饭（я обедаю，合并短语）
[398] яоченьсонный | 其他 | 我很困（я очень сонный，合并短语）
[399] японялиятоже | 其他 | 我明白了，我也是（я понял, я тоже，合并碎片，待核）
[400] японяла | 其他 | 我明白了（я поняла，合并短语）
[401] япоужинала | 其他 | 我吃过晚饭了（я поужинала，合并短语）
[402] ясоважаворонок | 其他 | 哦，我是乌鸦（я... воронок，合并碎片，待核）
[403] ясогласенсэтим | 其他 | 我同意这点（я согласен с этим，合并短语）
[404] ятолькочтопообедал | 其他 | 我刚吃完午饭（я только что пообедал，合并碎片，待核）
[405] ятолькочтопоужинал | 其他 | 我刚吃完晚饭（я только что поужинал，合并碎片，待核）
[406] вуниверситете | 副词 | 在大学（в университете，合并词）
[407] большоеспасибо | 其他 | 非常感谢（большое спасибо，合并短语）
[408] акак | 其他 | 那怎么（а как，合并短语）
[409] апочему | 其他 | 那为什么（а почему，合并短语）
[410] аты | 代词 | 你呢（а ты，合并词）
[411] аа | 其他 | 啊（аа，拟声/应答，待核）
[412] большойспасибо | 其他 | 非常感谢（большой спасибо，合并短语）
[413] вчем | 前置词 | 在什么方面（в чём，合并词）
[414] дапришлоспасибо | 其他 | 是，谢谢（да, пришлось спасибо，合并碎片，待核）
[415] дайугадаю | 其他 | 让我猜猜（дай, угадаю，合并碎片，待核）
[416] какбызабыли | 其他 | 好像忘了（как бы забыли，合并碎片，待核）
[417] какдела | 其他 | 你好吗（как дела，合并短语）
[418] какделаутебя | 其他 | 你近况如何（как дела у тебя，合并碎片，待核）
[419] какделаутебякакучеба | 其他 | 你近况怎样，学业呢（как дела у тебя, как учёба，合并碎片，待核）
[420] какделауюйхана | 其他 | 你好吗，吴彦（как дела, у Юйхана，合并碎片，待核）
[421] лоянлоян | 专有名词 | 洛阳/洛扬（лоян/лоян，合并碎片，待核）
[422] ммм | 其他 | 嗯（ммм，拟声，待核）
[423] мывсегдаучимся | 其他 | 我们一直在学（мы всегда учимся，合并碎片，待核）
[424] огоотакомянеслышала | 其他 | 哦，这种我还没听说过（ого, от таком я не слышала，合并碎片，待核）
[425] ойспасибо | 其他 | 哎，谢谢（ой, спасибо，合并碎片，待核）
[426] ококок | 其他 | 哦哦哦（ококок，拟声，待核）
[427] онсильнееменя | 其他 | 他比我壮（он сильнее меня，合并短语）
[428] ооу | 其他 | 哦呜（ооу，拟声，待核）
[429] оченькрасивая | 形容词 | 非常漂亮（очень красивая，合并短语）
[430] приятногоаппетита | 其他 | 祝好胃口（приятного аппетита，合并短语）
[431] рахильаснел | 专有名词 | 拉希尔·阿斯内尔（Рахиль Аснель，合并碎片，待核）
[432] тызабыла | 其他 | 你忘了（ты забыла，合并短语）
[433] уменявопрос | 其他 | 我有个问题（у меня вопрос，合并短语）
[434] унаснепрошел | 其他 | 我们没通过（у нас не прошёл，合并碎片，待核）
[435] утебякакдела | 其他 | 你近况如何（у тебя как дела，合并碎片，待核）
[436] хаха | 其他 | 哈哈（ха-ха，拟声）
[437] хахаспасибо | 其他 | 哈哈，谢谢（ха-ха, спасибо，合并碎片，待核）
[438] хорошоспасибо | 其他 | 好，谢谢（хорошо, спасибо，合并碎片，待核）
[439] чтонаписановэтом | 其他 | 这上面写了什么（что написано в этом，合并碎片，待核）
[440] этотзнаетменьшелюдей | 其他 | 这个知道的人更少（этот знает меньше людей，合并碎片，待核）
[441] японял | 其他 | 我懂了（я понял，合并短语）
[442] японялспасибо | 其他 | 我懂了，谢谢（я понял, спасибо，合并碎片，待核）
[443] июнярусский | 形容词 | 六月的/俄语的（июня/русский，合并碎片，待核）
[444] ааонаизучаетрусский | 其他 | 啊，她学俄语（аа, она изучает русский，合并碎片，待核）
[445] безошибочноправильно | 副词 | 准确无误地（безошибочно правильно，合并短语）
[446] вкитаеобычно | 副词 | 在中国通常（в Китае обычно，合并碎片，待核）
[447] вкитайскомязыкке | 副词 | 用汉语（в китайском языке，языкке 为 языке 错拼）
[448] дададаяпонимаю | 其他 | 对对对，我明白（да-да-да, я понимаю，合并碎片，待核）
[449] дайпоговорить | 其他 | 让我说（дай поговорить，合并短语）
[450] запишимнеголосовое | 其他 | 给我发语音（запиши мне голосовое，合并碎片，待核）
[451] запомнитьповторить | 动词 | 记住/复述（запомнить/повторить，合并碎片，待核）
[452] китайскийновыйгод | 专有名词 | 春节（китайский Новый год）
[453] конечнонет | 其他 | 当然不（конечно нет，合并短语）
[454] немогузапомнитьслова | 其他 | 我记不住单词（не могу запомнить слова，合并碎片，待核）
[455] ноонсильнееменя | 其他 | 但他比我壮（но он сильнее меня，合并碎片，待核）
[456] ококяпонимаюэто | 其他 | 哦哦，我明白这个（окок, я понимаю это，合并碎片，待核）
[457] особенностьнюанс | 名词 | 特点/细微差别（особенность/нюанс，合并碎片，待核）
[458] переводперевести | 名词 | 翻译（перевод/перевести，合并碎片，待核）
[459] проститенерасслышала | 其他 | 抱歉没听清（простите, не расслышала，合并碎片，待核）
[460] склонениеспряжение | 名词 | 变格/变位（склонение/спряжение，合并碎片，待核）
[461] тамвсенакитайском | 其他 | 那里全是汉语（там всё на китайском，合并碎片，待核）
[462] урусскихневстречала | 其他 | 在俄罗斯人那里没见过（у русских не встречала，合并碎片，待核）
[463] ужегода | 其他 | 已经一年了（уже года，合并碎片，待核）
[464] хахаха | 其他 | 哈哈哈（ха-ха-ха，拟声）
[465] язапоминаюслова | 其他 | 我在记单词（я запоминаю слова，合并碎片，待核）
[466] япечатаюмедленно | 其他 | 我打字慢（я печатаю медленно，合并碎片，待核）
[467] яслышалаоматча | 其他 | 我听说过马特奇（я слышала о Матче，合并碎片，待核）
[468] яхочустатьлучше | 其他 | 我想变得更好（я хочу стать лучше，合并碎片，待核）
[469] апотомвмае-июне | 其他 | 然后五六月份（а потом в мае-июне，合并碎片，待核）
[470] асколькоэтостоит | 其他 | 那这多少钱（а сколько это стоит，合并碎片，待核）
[471] аавновыйгод | 其他 | 啊，新年（аа, в Новый год，合并碎片，待核）
[472] агапотомучтоягений | 其他 | 啊，因为我是天才（ага, потому что я гений，合并碎片，待核）
[473] вкакойстране | 副词 | 在哪个国家（в какой стране，合并短语）
[474] ваунамбытакоевроссию | 其他 | 哇，我们俄罗斯也有这种（вау, нам бы такое в Россию，合并碎片，待核）
[475] даядумаютыправ | 其他 | 是的，我想你是对的（да, я думаю, ты прав，合并碎片，待核）
[476] даядумаюувсехтак | 其他 | 是的，我想大家都这样（да, я думаю, у всех так，合并碎片，待核）
[477] думалатытожеумеешь | 其他 | 我以为你也会（думала, ты тоже умеешь，合并碎片，待核）
[478] еслибыямогто | 连词 | 如果我能那样（если бы я мог то，合并碎片，待核）
[479] изавтратоженет | 其他 | 明天也不行（и завтра тоже нет，合并碎片，待核）
[480] мечтамечтать | 名词 | 梦想（мечта/мечтать，合并碎片，待核）
[481] мечтаюотомчтобы | 其他 | 我梦想着（мечтаю о том, чтобы，合并碎片，待核）
[482] можетбытьдавай-ка | 其他 | 也许，来吧（может быть, давай-ка，合并碎片，待核）
[483] намерена | 形容词 | 打算（намерена，短尾谓语形容词）
[484] неуверенанодумаючто | 其他 | 不确定，但我想（не уверена, но думаю, что，合并碎片，待核）
[485] оготыбыстрорешил | 其他 | 哦，你很快决定了（ого, ты быстро решил，合并碎片，待核）
[486] поспешутьуспеть | 动词 | 赶着赶上（поспешить успеть，合并碎片，待核）
[487] сегоднянетзавтра | 其他 | 今天不行，明天（сегодня нет, завтра，合并碎片，待核）
[488] согласеназдорово | 其他 | 同意，太棒了（согласен, здорово，合并碎片，待核）
[489] срокдедлайн | 名词 | 期限/截止日（срок/дедлайн，合并碎片，待核）
[490] удачаудачный | 名词 | 运气/顺利的（удача/удачный，合并碎片，待核）
[491] хахахорошо | 其他 | 哈哈，好（ха-ха, хорошо，合并碎片，待核）
[492] цельдостичьцели | 名词 | 目标（цель/достичь цели，合并碎片，待核）
[493] чеееядумалатыспишь | 其他 | 呃，我以为你在睡（чего, я думала, ты спишь，合并碎片，待核）
[494] ябудустараться | 其他 | 我会努力（я буду стараться，合并碎片，待核）
[495] яподумалачтоемулет | 其他 | 我想他大概…岁（я подумала, что ему лет，合并碎片，待核）
[496] ятожедумаю | 其他 | 我也这么想（я тоже думаю，合并短语）
[497] ятожепланируюаядумаю | 其他 | 我也计划，我想（я тоже планирую, а я думаю，合并碎片，待核）
[498] яужерешилабуду | 其他 | 我已经决定了，会去（я уже решила, буду，合并碎片，待核）
[499] блинкакнеудачно | 其他 | 糟了，真不巧（блин, как неудачно，合并碎片，待核）
[500] вотэтода | 其他 | 就是这个（вот это да，合并碎片，待核）
[501] какздорово | 其他 | 太棒了（как здорово，合并短语）
[502] какаядосада | 其他 | 真遗憾（какая досада，合并短语）
[503] мнегрустнопечально | 其他 | 我难过（мне грустно, печально，合并碎片，待核）
[504] мнежаль | 其他 | 我替…惋惜（мне жаль，合并短语）
[505] мнетяжелонадуше | 其他 | 我心里沉重（мне тяжело на душе，合并碎片，待核）
[506] неможетбыть | 其他 | 不可能（не может быть，合并短语）
[507] ничегосебе | 其他 | 还不错；哎呀（ничего себе，合并短语）
[508] отчаяниевосхищение | 名词 | 绝望/赞叹（отчаяние/восхищение，合并碎片，待核）
[509] поддержкасочувствие | 名词 | 支持/同情（поддержка/сочувствие，合并碎片，待核）
[510] понимаютебя | 其他 | 理解你（понимаю тебя，合并短语）
[511] понимаюнопопробуй | 其他 | 我理解，但试试（понимаю, но попробуй，合并碎片，待核）
[512] радостьгрустьзлость | 名词 | 喜悦/悲伤/愤怒（радость/грусть/злость，合并碎片，待核）
[513] сердцерадостнобьется | 其他 | 心里欢喜地跳（сердце радостно бьётся，合并碎片，待核）
[514] серьезноправда | 其他 | 认真的吗，真的（серьёзно, правда，合并碎片，待核）
[515] счастьетоска | 名词 | 幸福/忧伤（счастье/тоска，合并碎片，待核）
[516] тышутишь | 其他 | 你开玩笑吧（ты шутишь，合并短语）
[517] уранаконец-то | 其他 | 乌拉，终于（ура, наконец-то，合并碎片，待核）
[518] хватитяусталотэтого | 其他 | 够了，我累了（хватит, я устал от этого，合并碎片，待核）
[519] яввосхищении | 其他 | 我赞叹（я в восхищении，合并短语）
[520] явшоке | 其他 | 我震惊（я в шоке，合并短语）
[521] язолзла | 其他 | 我生气了（я злилась，合并碎片，待核）
[522] ярасстроенрасстроена | 其他 | 我难过（я расстроен/расстроена，合并短语）
[523] ятакрадрада | 其他 | 我太高兴了（я так рада, рада，合并碎片，待核）
[524] ятожетаксчитаю | 其他 | 我也这么认为（я тоже так считаю，合并短语）
[525] белыеночи | 名词 | 白夜（белые ночи）
[526] влояненаступилавесна | 其他 | 在洛阳春天来了（в Лояне наступила весна，合并碎片，待核）
[527] весналетоосеньзима | 名词 | 春夏秋冬（весна/лето/осень/зима，合并碎片，待核）
[528] давозьмемедуиводу | 其他 | 拿点蜂蜜和水（да, возьмём мёду и воду，合并碎片，待核）
[529] дауменяпрошелдождь | 其他 | 是的，我那里下过雨（да, у меня прошёл дождь，合并碎片，待核）
[530] дождьснегветер | 名词 | 雨/雪/风（дождь/снег/ветер，合并碎片，待核）
[531] каксильныйтуман | 其他 | 多大的雾（как сильный туман，合并碎片，待核）
[532] какаяуваспогода | 其他 | 你们那里天气怎样（какая у вас погода，合并碎片，待核）
[533] немногожарко | 其他 | 有点热（немного жарко，合并短语）
[534] огоябызамерз | 其他 | 哦，我会冻僵（ого, я бы замёрз，合并碎片，待核）
[535] одетьсятеплее | 动词 | 穿暖和些（одеться теплее，合并短语）
[536] солнечныйдень | 名词 | 晴天（солнечный день）
[537] такскоропридетвесна | 其他 | 春天很快会来（так скоро придёт весна，合并碎片，待核）
[538] тамжарко | 其他 | 那里热（там жарко，合并短语）
[539] тынезабылда | 其他 | 你没忘吧（ты не забыл да，合并碎片，待核）
[540] увассейчас | 其他 | 你们现在（у вас сейчас，合并短语）
[541] увассейчасс | 其他 | 你们现在（у вас сейчас，合并碎片，待核）
[542] унасночьюпрошелдождь | 其他 | 我们那里夜里下过雨（у нас ночью прошёл дождь，合并碎片，待核）
[543] унассегоднядождь | 其他 | 我们今天下雨（у нас сегодня дождь，合并碎片，待核）
[544] унассолнце | 其他 | 我们有太阳（у нас солнце，合并短语）
[545] акакэтоработает | 其他 | 那这怎么用（а как это работает，合并碎片，待核）
[546] ааа | 其他 | 啊啊啊（ааа，拟声，待核）
[547] вроссии | 副词 | 在俄罗斯（в России，合并词）
[548] достоеский | 专有名词 | 陀思妥耶夫斯基（Достоевский 的合并/错拼）
[549] крутоаяпредпочитаю | 其他 | 酷，我更喜欢（круто, я предпочитаю，合并碎片，待核）
[550] кстатисколькотебелет | 其他 | 顺便问，你几岁（кстати, сколько тебе лет，合并碎片，待核）
[551] культураискусство | 名词 | 文化/艺术（культура/искусство，合并碎片，待核）
[552] неттызнаешьтикток | 其他 | 不，你知道 TikTok（нет, ты знаешь TikTok，合并碎片，待核）
[553] отакомянеслышала | 其他 | 这种我没听说过（о таком я не слышала，合并碎片，待核）
[554] оказываетсявроссии | 其他 | 原来在俄罗斯（оказывается, в России，合并碎片，待核）
[555] онатвояодногруппница | 其他 | 她是你的同班同学（она твоя одногруппница，合并碎片，待核）
[556] праздникторжество | 名词 | 节日/庆典（праздник/торжество，合并碎片，待核）
[557] приложениегаджет | 名词 | 应用/电子设备（приложение/гаджет，合并碎片，待核）
[558] рисоватьрисовка | 动词 | 画/绘画（рисовать/рисовка，合并碎片，待核）
[559] россияслишкомбольшая | 其他 | 俄罗斯太大了（Россия слишком большая，合并碎片，待核）
[560] русскийтанец | 名词 | 俄罗斯舞（русский танец）
[561] сколькотебелет | 其他 | 你几岁（сколько тебе лет，合并短语）
[562] смартфонноутбук | 名词 | 手机/笔记本（смартфон/ноутбук，合并碎片，待核）
[563] спорттренировка | 名词 | 运动/训练（спорт/тренировка，合并碎片，待核）
[564] традицияобычай | 名词 | 传统/习俗（традиция/обычай，合并碎片，待核）
[565] тызнаешьикок | 其他 | 你知道 ICOC 吗（ты знаешь ICOC，合并碎片，待核）
[566] тычиталэтикниги | 其他 | 你读过这些书吗（ты читал эти книги，合并碎片，待核）
[567] утебяихнет | 其他 | 你没有它们（у тебя их нет，合并短语）
[568] умеешьтанцевать | 动词 | 会跳舞（умеешь танцевать，合并短语）
[569] хоббиувлечение | 名词 | 爱好/兴趣（хобби/увлечение，合并碎片，待核）
[570] читаюкнигу | 其他 | 我在读书（читаю книгу，合并短语）
[571] этикнигинарусском | 其他 | 这些书是俄语的（эти книги на русском，合并碎片，待核）
[572] этопочтикакчат | 其他 | 这几乎像聊天（это почти как чат，合并碎片，待核）
[573] этоявчерафоткала | 其他 | 这是我昨天拍的（это я вчера фоткала，合并碎片，待核）
[574] явродеговорилачтомне | 其他 | 我好像说过…（я вроде говорила, что мне，合并碎片，待核）
[575] язнаюдостоевского | 其他 | 我知道陀思妥耶夫斯基（я знаю Достоевского，合并短语）
[576] япоищувинтернете | 其他 | 我在网上搜（я поищу в интернете，合并碎片，待核）
[577] апочемутакпоздноуже | 其他 | 怎么这么晚了（а почему так поздно уже，合并碎片，待核）
[578] аааоченькрасивая | 其他 | 啊啊，非常漂亮（ааа, очень красивая，合并碎片，待核）
[579] бусинатреснула | 其他 | 珠子裂了（бусина треснула，合并短语）
[580] возвращатьсядомой | 动词 | 回家（возвращаться домой，合并短语）
[581] давнопришелдомой | 其他 | 早就回家了（давно пришёл домой，合并碎片，待核）
[582] даймнепосмотреть | 其他 | 让我看看（дай мне посмотреть，合并短语）
[583] ещепилкофе | 其他 | 还喝了咖啡（ещё пил кофе，合并碎片，待核）
[584] залипатьвкровати | 动词 | 赖在床上（залипать в кровати，合并短语）
[585] ложитьсяспать | 动词 | 去睡（ложиться спать，合并短语）
[586] поэтомуянехочуспать | 其他 | 所以我不想睡（поэтому я не хочу спать，合并碎片，待核）
[587] режимдня | 名词 | 作息；日程（режим дня）
[588] тыдома | 其他 | 你在家（ты дома，合并短语）
[589] тыедешьужедомой | 其他 | 你已经回家了吗（ты едешь уже домой，合并碎片，待核）
[590] тыужедомойвернулся | 其他 | 你已经到家了（ты уже домой вернулся，合并碎片，待核）
[591] увасужетамночи | 其他 | 你们那里已经晚上了（у вас уже там ночи，合并碎片，待核）
[592] этокофе | 其他 | 这是咖啡（это кофе，合并短语）
[593] ядома | 其他 | 我在家（я дома，合并短语）
[594] язаварилсебекофе | 其他 | 我给自己煮了咖啡（я заварил себе кофе，合并碎片，待核）
[595] янелюблюрановставать | 其他 | 我不喜欢早起（я не люблю рано вставать，合并碎片，待核）
[596] япоставилбудильник | 其他 | 我定了闹钟（я поставил будильник，合并碎片，待核）
[597] ятоже | 其他 | 我也是（я тоже，合并短语）
[598] домои | 其他 | 我的家（дом мой，合并碎片，待核）
[599] каждыи | 形容词 | 每个（каждый，词尾 и 为 ы 错拼）
[600] какои | 形容词 | 怎样的（какой，词尾 и 为 й 错拼）
