[1] авария | 名词 | 单数:主格 авария,属格 аварии,与格 аварии,宾格 аварию,工具格 аварией,前格 об аварии;复数:主格 аварии,属格 аварий,与格 авариям,宾格 аварии,工具格 авариями,前格 об авариях
[128] вирус | 名词 | 单数:主格 вирус,属格 вируса,与格 вирусу,宾格 вирус,工具格 вирусом,前格 о вирусе;复数:主格 вирусы,属格 вирусов,与格 вирусам,宾格 вирусы,工具格 вирусами,前格 о вирусах
[129] витрина | 名词 | 单数:主格 витрина,属格 витрины,与格 витрине,宾格 витрину,工具格 витриной,前格 о витрине;复数:主格 витрины,属格 витрин,与格 витринам,宾格 витрины,工具格 витринами,前格 о витринах
[130] вишня | 名词 | 单数:主格 вишня,属格 вишни,与格 вишне,宾格 вишню,工具格 вишней,前格 о вишне;复数:主格 вишни,属格 вишен,与格 вишням,宾格 вишни,工具格 вишнями,前格 о вишнях
[131] вкус | 名词 | 单数:主格 вкус,属格 вкуса,与格 вкусу,宾格 вкус,工具格 вкусом,前格 о вкусе;复数:主格 вкусы,属格 вкусов,与格 вкусам,宾格 вкусы,工具格 вкусами,前格 о вкусах
[132] владелец | 名词 | 单数:主格 владелец,属格 владельца,与格 владельцу,宾格 владельца,工具格 владельцем,前格 о владельце;复数:主格 владельцы,属格 владельцев,与格 владельцам,宾格 владельцев,工具格 владельцами,前格 о владельцах
[133] владимир | 名词 | 单数:主格 владимир,属格 владимира,与格 владимиру,宾格 владимира,工具格 владимиром,前格 о владимире;复数:主格 владимиры,属格 владимиров,与格 владимирам,宾格 владимиров,工具格 владимирами,前格 о владимирах
[134] владимирович | 名词 | 单数:主格 владимирович,属格 владимировича,与格 владимировичу,宾格 владимировича,工具格 владимировичем,前格 о владимировиче;复数:主格 владимировичи,属格 владимировичей,与格 владимировичам,宾格 владимировичей,工具格 владимировичами,前格 о владимировичах
[135] внешность | 名词 | 单数:主格 внешность,属格 внешности,与格 внешности,宾格 внешность,工具格 внешностью,前格 о внешности;复数:主格 внешности,属格 внешностей,与格 внешностям,宾格 внешности,工具格 внешностями,前格 о внешностях
[136] внимание | 名词 | 单数:主格 внимание,属格 внимания,与格 вниманию,宾格 внимание,工具格 вниманием,前格 о внимании;复数:主格 внимания,属格 вниманий,与格 вниманиям,宾格 внимания,工具格 вниманиями,前格 о вниманиях
[137] внук | 名词 | 单数:主格 внук,属格 внука,与格 внуку,宾格 внука,工具格 внуком,前格 о внуке;复数:主格 внуки,属格 внуков,与格 внукам,宾格 внуков,工具格 внуками,前格 о внуках
[138] во-вторых | 其他 | —（词性：CONJ,Prnt，无标准变格/变位表）
[139] водитель | 名词 | 单数:主格 водитель,属格 водителя,与格 водителю,宾格 водителя,工具格 водителем,前格 о водителе;复数:主格 водители,属格 водителей,与格 водителям,宾格 водителей,工具格 водителями,前格 о водителях
[140] водопад | 名词 | 单数:主格 водопад,属格 водопада,与格 водопаду,宾格 водопад,工具格 водопадом,前格 о водопаде;复数:主格 водопады,属格 водопадов,与格 водопадам,宾格 водопады,工具格 водопадами,前格 о водопадах
[141] водопровод | 名词 | 单数:主格 водопровод,属格 водопровода,与格 водопроводу,宾格 водопровод,工具格 водопроводом,前格 о водопроводе;复数:主格 водопроводы,属格 водопроводов,与格 водопроводам,宾格 водопроводы,工具格 водопроводами,前格 о водопроводах
[142] воздух | 名词 | 单数:主格 воздух,属格 воздуха,与格 воздуху,宾格 воздух,工具格 воздухом,前格 о воздухе;复数:主格 воздухи,属格 воздухов,与格 воздухам,宾格 воздухи,工具格 воздухами,前格 о воздухах
[143] возможность | 名词 | 单数:主格 возможность,属格 возможности,与格 возможности,宾格 возможность,工具格 возможностью,前格 о возможности;复数:主格 возможности,属格 возможностей,与格 возможностям,宾格 возможности,工具格 возможностями,前格 о возможностях
[144] возраст | 名词 | 单数:主格 возраст,属格 возраста,与格 возрасту,宾格 возраст,工具格 возрастом,前格 о возрасте;复数:主格 возрасты,属格 возрастов,与格 возрастам,宾格 возрасты,工具格 возрастами,前格 о возрастах
[145] возрождение | 名词 | 单数:主格 возрождение,属格 возрождения,与格 возрождению,宾格 возрождение,工具格 возрождением,前格 о возрождении;复数:主格 возрождения,属格 возрождений,与格 возрождениям,宾格 возрождения,工具格 возрождениями,前格 о возрождениях
[146] воин | 名词 | 单数:主格 воин,属格 воина,与格 воину,宾格 воина,工具格 воином,前格 о воине;复数:主格 воины,属格 воинов,与格 воинам,宾格 воинов,工具格 воинами,前格 о воинах
[147] война | 名词 | 单数:主格 война,属格 войны,与格 войне,宾格 войну,工具格 войной,前格 о войне;复数:主格 войны,属格 войн,与格 войнам,宾格 войны,工具格 войнами,前格 о войнах
[148] вокзал | 名词 | 单数:主格 вокзал,属格 вокзала,与格 вокзалу,宾格 вокзал,工具格 вокзалом,前格 о вокзале;复数:主格 вокзалы,属格 вокзалов,与格 вокзалам,宾格 вокзалы,工具格 вокзалами,前格 о вокзалах
[149] волна | 名词 | 单数:主格 волна,属格 волны,与格 волне,宾格 волну,工具格 волной,前格 о волне;复数:主格 волны,属格 волн,与格 волнам,宾格 волны,工具格 волнами,前格 о волнах
[150] воля | 名词 | 单数:主格 воля,属格 воли,与格 воле,宾格 волю,工具格 волей,前格 о воле;复数:主格 воли,属格 воль,与格 волям,宾格 воли,工具格 волями,前格 о волях
[151] воображение | 名词 | 单数:主格 воображение,属格 воображения,与格 воображению,宾格 воображение,工具格 воображением,前格 о воображении;复数:主格 воображения,属格 воображений,与格 воображениям,宾格 воображения,工具格 воображениями,前格 о воображениях
[152] вопрос | 名词 | 单数:主格 вопрос,属格 вопроса,与格 вопросу,宾格 вопрос,工具格 вопросом,前格 о вопросе;复数:主格 вопросы,属格 вопросов,与格 вопросам,宾格 вопросы,工具格 вопросами,前格 о вопросах
[153] воробей | 名词 | 单数:主格 воробей,属格 воробья,与格 воробью,宾格 воробья,工具格 воробьём,前格 о воробье;复数:主格 воробьи,属格 воробьёв,与格 воробьям,宾格 воробьёв,工具格 воробьями,前格 о воробьях
[154] ворона | 名词 | 单数:主格 ворона,属格 вороны,与格 вороне,宾格 ворону,工具格 вороной,前格 о вороне;复数:主格 вороны,属格 ворон,与格 воронам,宾格 ворон,工具格 воронами,前格 о воронах
[155] ворота | 名词 | 单数:主格 ворота,属格 ворота,与格 ворота,宾格 ворота,工具格 ворота,前格 о ворота;复数:主格 ворота,属格 ворот,与格 воротам,宾格 ворота,工具格 воротами,前格 о воротах
[156] воспитание | 名词 | 单数:主格 воспитание,属格 воспитания,与格 воспитанию,宾格 воспитание,工具格 воспитанием,前格 о воспитании;复数:主格 воспитания,属格 воспитаний,与格 воспитаниям,宾格 воспитания,工具格 воспитаниями,前格 о воспитаниях
[157] воспоминание | 名词 | 单数:主格 воспоминание,属格 воспоминания,与格 воспоминанию,宾格 воспоминание,工具格 воспоминанием,前格 о воспоминании;复数:主格 воспоминания,属格 воспоминаний,与格 воспоминаниям,宾格 воспоминания,工具格 воспоминаниями,前格 о воспоминаниях
[158] восток | 名词 | 单数:主格 восток,属格 востока,与格 востоку,宾格 восток,工具格 востоком,前格 о востоке;复数:主格 востоки,属格 востоков,与格 востокам,宾格 востоки,工具格 востоками,前格 о востоках
[159] встреча | 名词 | 单数:主格 встреча,属格 встречи,与格 встрече,宾格 встречу,工具格 встречей,前格 о встрече;复数:主格 встречи,属格 встреч,与格 встречам,宾格 встречи,工具格 встречами,前格 о встречах
[160] вторник | 名词 | 单数:主格 вторник,属格 вторника,与格 вторнику,宾格 вторник,工具格 вторником,前格 о вторнике;复数:主格 вторники,属格 вторников,与格 вторникам,宾格 вторники,工具格 вторниками,前格 о вторниках
[161] вульгарный | 形容词 | 短尾:вульгарен,вульгарна,вульгарно,вульгарны;比较级:вульгарнее
[162] вывести | 动词 | 将来时:я выведу,ты выведешь,он/она выведет,мы выведем,вы выведете,они выведут;过去时:вывел,вывела,вывело,вывели
[163] выпуск | 名词 | 单数:主格 выпуск,属格 выпуска,与格 выпуску,宾格 выпуск,工具格 выпуском,前格 о выпуске;复数:主格 выпуски,属格 выпусков,与格 выпускам,宾格 выпуски,工具格 выпусками,前格 о выпусках
[164] выпускник | 名词 | 单数:主格 выпускник,属格 выпускника,与格 выпускнику,宾格 выпускника,工具格 выпускником,前格 о выпускнике;复数:主格 выпускники,属格 выпускников,与格 выпускникам,宾格 выпускников,工具格 выпускниками,前格 о выпускниках
[165] выражение | 名词 | 单数:主格 выражение,属格 выражения,与格 выражению,宾格 выражение,工具格 выражением,前格 о выражении;复数:主格 выражения,属格 выражений,与格 выражениям,宾格 выражения,工具格 выражениями,前格 о выражениях
[166] высокий | 形容词 | 短尾:высок,высока,высоко,высоки;比较级:—
[167] выставка | 名词 | 单数:主格 выставка,属格 выставки,与格 выставке,宾格 выставку,工具格 выставкой,前格 о выставке;复数:主格 выставки,属格 выставок,与格 выставкам,宾格 выставки,工具格 выставками,前格 о выставках
[168] выступление | 名词 | 单数:主格 выступление,属格 выступления,与格 выступлению,宾格 выступление,工具格 выступлением,前格 о выступлении;复数:主格 выступления,属格 выступлений,与格 выступлениям,宾格 выступления,工具格 выступлениями,前格 о выступлениях
[169] выход | 名词 | 单数:主格 выход,属格 выхода,与格 выходу,宾格 выход,工具格 выходом,前格 о выходе;复数:主格 выходы,属格 выходов,与格 выходам,宾格 выходы,工具格 выходами,前格 о выходах
[170] газ | 名词 | 单数:主格 газ,属格 газа,与格 газу,宾格 газ,工具格 газом,前格 о газе;复数:主格 газы,属格 газов,与格 газам,宾格 газы,工具格 газами,前格 о газах
[171] газон | 名词 | 单数:主格 газон,属格 газона,与格 газону,宾格 газон,工具格 газоном,前格 о газоне;复数:主格 газоны,属格 газонов,与格 газонам,宾格 газоны,工具格 газонами,前格 о газонах
[172] галстук | 名词 | 单数:主格 галстук,属格 галстука,与格 галстуку,宾格 галстук,工具格 галстуком,前格 о галстуке;复数:主格 галстуки,属格 галстуков,与格 галстукам,宾格 галстуки,工具格 галстуками,前格 о галстуках
[173] гармоничный | 形容词 | 短尾:гармоничен,гармонична,гармонично,гармоничны;比较级:гармоничнее
[174] ген | 名词 | 单数:主格 ген,属格 гена,与格 гену,宾格 ген,工具格 геном,前格 о гене;复数:主格 гены,属格 генов,与格 генам,宾格 гены,工具格 генами,前格 о генах
[175] генерал | 名词 | 单数:主格 генерал,属格 генерала,与格 генералу,宾格 генерала,工具格 генералом,前格 о генерале;复数:主格 генералы,属格 генералов,与格 генералам,宾格 генералов,工具格 генералами,前格 о генералах
[176] гений | 名词 | 单数:主格 гений,属格 гения,与格 гению,宾格 гения,工具格 гением,前格 о гении;复数:主格 гении,属格 гениев,与格 гениям,宾格 гениев,工具格 гениями,前格 о гениях
[177] географ | 名词 | 单数:主格 географ,属格 географа,与格 географу,宾格 географа,工具格 географом,前格 о географе;复数:主格 географы,属格 географов,与格 географам,宾格 географов,工具格 географами,前格 о географах
[178] геолог | 名词 | 单数:主格 геолог,属格 геолога,与格 геологу,宾格 геолога,工具格 геологом,前格 о геологе;复数:主格 геологи,属格 геологов,与格 геологам,宾格 геологов,工具格 геологами,前格 о геологах
[179] герб | 名词 | 单数:主格 герб,属格 герба,与格 гербу,宾格 герб,工具格 гербом,前格 о гербе;复数:主格 гербы,属格 гербов,与格 гербам,宾格 гербы,工具格 гербами,前格 о гербах
[180] герой | 名词 | 单数:主格 герой,属格 героя,与格 герою,宾格 героя,工具格 героем,前格 о герое;复数:主格 герои,属格 героев,与格 героям,宾格 героев,工具格 героями,前格 о героях
[181] гид | 名词 | 单数:主格 гид,属格 гида,与格 гиду,宾格 гида,工具格 гидом,前格 о гиде;复数:主格 гиды,属格 гидов,与格 гидам,宾格 гидов,工具格 гидами,前格 о гидах
[182] гимназия | 名词 | 单数:主格 гимназия,属格 гимназии,与格 гимназии,宾格 гимназию,工具格 гимназией,前格 о гимназии;复数:主格 гимназии,属格 гимназий,与格 гимназиям,宾格 гимназии,工具格 гимназиями,前格 о гимназиях
[183] глава | 名词 | 单数:主格 глава,属格 главы,与格 главе,宾格 главу,工具格 главой,前格 о главе;复数:主格 главы,属格 глав,与格 главам,宾格 глав,工具格 главами,前格 о главах
[184] глаз | 名词 | 单数:主格 глаз,属格 глаза,与格 глазу,宾格 глаз,工具格 глазом,前格 о глазе;复数:主格 глаза,属格 глаз,与格 глазам,宾格 глаза,工具格 глазами,前格 о глазах
[185] глина | 名词 | 单数:主格 глина,属格 глины,与格 глине,宾格 глину,工具格 глиной,前格 о глине;复数:主格 глины,属格 глин,与格 глинам,宾格 глины,工具格 глинами,前格 о глинах
[186] глубина | 名词 | 单数:主格 глубина,属格 глубины,与格 глубине,宾格 глубину,工具格 глубиной,前格 о глубине;复数:主格 глубины,属格 глубин,与格 глубинам,宾格 глубины,工具格 глубинами,前格 о глубинах
[187] глупость | 名词 | 单数:主格 глупость,属格 глупости,与格 глупости,宾格 глупость,工具格 глупостью,前格 о глупости;复数:主格 глупости,属格 глупостей,与格 глупостям,宾格 глупости,工具格 глупостями,前格 о глупостях
[188] гнездо | 名词 | 单数:主格 гнездо,属格 гнезда,与格 гнезду,宾格 гнездо,工具格 гнездом,前格 о гнезде;复数:主格 гнёзда,属格 гнёзд,与格 гнёздам,宾格 гнёзда,工具格 гнёздами,前格 о гнёздах
[189] год | 名词 | 单数:主格 год,属格 года,与格 году,宾格 год,工具格 годом,前格 о годе;复数:主格 годы,属格 годов,与格 годам,宾格 годы,工具格 годами,前格 о годах
[190] голова | 名词 | 单数:主格 голова,属格 головы,与格 голове,宾格 голову,工具格 головой,前格 о голове;复数:主格 головы,属格 голов,与格 головам,宾格 головы,工具格 головами,前格 о головах
[191] голод | 名词 | 单数:主格 голод,属格 голода,与格 голоду,宾格 голод,工具格 голодом,前格 о голоде;复数:主格 голоды,属格 голодов,与格 голодам,宾格 голоды,工具格 голодами,前格 о голодах
[192] голос | 名词 | 单数:主格 голос,属格 голоса,与格 голосу,宾格 голос,工具格 голосом,前格 о голосе;复数:主格 голоса,属格 голосов,与格 голосам,宾格 голоса,工具格 голосами,前格 о голосах
[193] гора | 名词 | 单数:主格 гора,属格 горы,与格 горе,宾格 гору,工具格 горой,前格 о горе;复数:主格 горы,属格 гор,与格 горам,宾格 горы,工具格 горами,前格 о горах
[194] горе | 名词 | 单数:主格 гора,属格 горы,与格 горе,宾格 гору,工具格 горой,前格 о горе;复数:主格 горы,属格 гор,与格 горам,宾格 горы,工具格 горами,前格 о горах
[195] город | 名词 | 单数:主格 город,属格 города,与格 городу,宾格 город,工具格 городом,前格 о городе;复数:主格 города,属格 городов,与格 городам,宾格 города,工具格 городами,前格 о городах
[196] госпожа | 名词 | 单数:主格 госпожа,属格 госпожи,与格 госпоже,宾格 госпожу,工具格 госпожой,前格 о госпоже;复数:主格 госпожи,属格 госпож,与格 госпожам,宾格 госпож,工具格 госпожами,前格 о госпожах
[197] гостеприимный | 形容词 | 短尾:гостеприимен,гостеприимна,гостеприимно,гостеприимны;比较级:гостеприимнее
[198] гостиница | 名词 | 单数:主格 гостиница,属格 гостиницы,与格 гостинице,宾格 гостиницу,工具格 гостиницей,前格 о гостинице;复数:主格 гостиницы,属格 гостиниц,与格 гостиницам,宾格 гостиницы,工具格 гостиницами,前格 о гостиницах
[199] гость | 名词 | 单数:主格 гость,属格 гостя,与格 гостю,宾格 гостя,工具格 гостем,前格 о госте;复数:主格 гости,属格 гостей,与格 гостям,宾格 гостей,工具格 гостями,前格 о гостях
[200] государство | 名词 | 单数:主格 государство,属格 государства,与格 государству,宾格 государство,工具格 государством,前格 о государстве;复数:主格 государства,属格 государств,与格 государствам,宾格 государства,工具格 государствами,前格 о государствах
[201] градус | 名词 | 单数:主格 градус,属格 градуса,与格 градусу,宾格 градус,工具格 градусом,前格 о градусе;复数:主格 градусы,属格 градусов,与格 градусам,宾格 градусы,工具格 градусами,前格 о градусах
[202] гражданство | 名词 | 单数:主格 гражданство,属格 гражданства,与格 гражданству,宾格 гражданство,工具格 гражданством,前格 о гражданстве;复数:主格 гражданства,属格 гражданств,与格 гражданствам,宾格 гражданства,工具格 гражданствами,前格 о гражданствах
[203] грамматика | 名词 | 单数:主格 грамматика,属格 грамматики,与格 грамматике,宾格 грамматику,工具格 грамматикой,前格 о грамматике;复数:主格 грамматики,属格 грамматик,与格 грамматикам,宾格 грамматики,工具格 грамматиками,前格 о грамматиках
[204] грипп | 名词 | 单数:主格 грипп,属格 гриппа,与格 гриппу,宾格 грипп,工具格 гриппом,前格 о гриппе;复数:主格 гриппы,属格 гриппов,与格 гриппам,宾格 гриппы,工具格 гриппами,前格 о гриппах
[205] гром | 名词 | 单数:主格 гром,属格 грома,与格 грому,宾格 гром,工具格 громом,前格 о громе;复数:主格 громы,属格 громов,与格 громам,宾格 громы,工具格 громами,前格 о громах
[206] громадина | 名词 | 单数:主格 громадина,属格 громадины,与格 громадине,宾格 громадину,工具格 громадиной,前格 о громадине;复数:主格 громадины,属格 громадин,与格 громадинам,宾格 громадины,工具格 громадинами,前格 о громадинах
[207] грудь | 名词 | 单数:主格 грудь,属格 груди,与格 груди,宾格 грудь,工具格 грудью,前格 о груди;复数:主格 груди,属格 грудей,与格 грудям,宾格 груди,工具格 грудями,前格 о грудях
[208] группа | 名词 | 单数:主格 группа,属格 группы,与格 группе,宾格 группу,工具格 группой,前格 о группе;复数:主格 группы,属格 групп,与格 группам,宾格 группы,工具格 группами,前格 о группах
[209] грусть | 名词 | 单数:主格 грусть,属格 грусти,与格 грусти,宾格 грусть,工具格 грустью,前格 о грусти;复数:主格 грусть,属格 грусть,与格 грусть,宾格 грусть,工具格 грусть,前格 о грусть
[210] груша | 名词 | 单数:主格 груша,属格 груши,与格 груше,宾格 грушу,工具格 грушей,前格 о груше;复数:主格 груши,属格 груш,与格 грушам,宾格 груши,工具格 грушами,前格 о грушах
[211] грязь | 名词 | 单数:主格 грязь,属格 грязи,与格 грязи,宾格 грязь,工具格 грязью,前格 о грязи;复数:主格 грязи,属格 грязей,与格 грязям,宾格 грязи,工具格 грязями,前格 о грязях
[212] губернатор | 名词 | 单数:主格 губернатор,属格 губернатора,与格 губернатору,宾格 губернатора,工具格 губернатором,前格 о губернаторе;复数:主格 губернаторы,属格 губернаторов,与格 губернаторам,宾格 губернаторов,工具格 губернаторами,前格 о губернаторах
[213] давление | 名词 | 单数:主格 давление,属格 давления,与格 давлению,宾格 давление,工具格 давлением,前格 о давлении;复数:主格 давления,属格 давлений,与格 давлениям,宾格 давления,工具格 давлениями,前格 о давлениях
[214] дама | 名词 | 单数:主格 дама,属格 дамы,与格 даме,宾格 даму,工具格 дамой,前格 о даме;复数:主格 дамы,属格 дам,与格 дамам,宾格 дам,工具格 дамами,前格 о дамах
[215] данилов | 名词 | 单数:主格 данилов,属格 данилова,与格 данилову,宾格 данилова,工具格 даниловым,前格 о данилове;复数:主格 даниловы,属格 даниловых,与格 даниловым,宾格 даниловых,工具格 даниловыми,前格 о даниловых
[216] дар | 名词 | 单数:主格 дар,属格 дара,与格 дару,宾格 дар,工具格 даром,前格 о даре;复数:主格 дары,属格 даров,与格 дарам,宾格 дары,工具格 дарами,前格 о дарах
[217] дата | 名词 | 单数:主格 дата,属格 даты,与格 дате,宾格 дату,工具格 датой,前格 о дате;复数:主格 даты,属格 дат,与格 датам,宾格 даты,工具格 датами,前格 о датах
[218] датчик | 名词 | 单数:主格 датчик,属格 датчика,与格 датчику,宾格 датчик,工具格 датчиком,前格 о датчике;复数:主格 датчики,属格 датчиков,与格 датчикам,宾格 датчики,工具格 датчиками,前格 о датчиках
[219] дача | 名词 | 单数:主格 дача,属格 дачи,与格 даче,宾格 дачу,工具格 дачей,前格 о даче;复数:主格 дачи,属格 дач,与格 дачам,宾格 дачи,工具格 дачами,前格 о дачах
[220] дверь | 名词 | 单数:主格 дверь,属格 двери,与格 двери,宾格 дверь,工具格 дверью,前格 о двери;复数:主格 двери,属格 дверей,与格 дверям,宾格 двери,工具格 дверями,前格 о дверях
[221] движение | 名词 | 单数:主格 движение,属格 движения,与格 движению,宾格 движение,工具格 движением,前格 о движении;复数:主格 движения,属格 движений,与格 движениям,宾格 движения,工具格 движениями,前格 о движениях
[222] двойка | 名词 | 单数:主格 двойка,属格 двойки,与格 двойке,宾格 двойку,工具格 двойкой,前格 о двойке;复数:主格 двойки,属格 двоек,与格 двойкам,宾格 двойки,工具格 двойками,前格 о двойках
[223] двор | 名词 | 单数:主格 двор,属格 двора,与格 двору,宾格 двор,工具格 двором,前格 о дворе;复数:主格 дворы,属格 дворов,与格 дворам,宾格 дворы,工具格 дворами,前格 о дворах
[224] дворец | 名词 | 单数:主格 дворец,属格 дворца,与格 дворцу,宾格 дворец,工具格 дворцом,前格 о дворце;复数:主格 дворцы,属格 дворцов,与格 дворцам,宾格 дворцы,工具格 дворцами,前格 о дворцах
[225] дворянство | 名词 | 单数:主格 дворянство,属格 дворянства,与格 дворянству,宾格 дворянство,工具格 дворянством,前格 о дворянстве;复数:主格 дворянства,属格 дворянств,与格 дворянствам,宾格 дворянства,工具格 дворянствами,前格 о дворянствах
[226] девка | 名词 | 单数:主格 девка,属格 девки,与格 девке,宾格 девку,工具格 девкой,前格 о девке;复数:主格 девки,属格 девок,与格 девкам,宾格 девок,工具格 девками,前格 о девках
[227] девочка | 名词 | 单数:主格 девочка,属格 девочки,与格 девочке,宾格 девочку,工具格 девочкой,前格 о девочке;复数:主格 девочки,属格 девочек,与格 девочкам,宾格 девочек,工具格 девочками,前格 о девочках
[228] девушка | 名词 | 单数:主格 девушка,属格 девушки,与格 девушке,宾格 девушку,工具格 девушкой,前格 о девушке;复数:主格 девушки,属格 девушек,与格 девушкам,宾格 девушек,工具格 девушками,前格 о девушках
[229] дедушка | 名词 | 单数:主格 дедушка,属格 дедушки,与格 дедушке,宾格 дедушку,工具格 дедушкой,前格 о дедушке;复数:主格 дедушки,属格 дедушек,与格 дедушкам,宾格 дедушек,工具格 дедушками,前格 о дедушках
[230] действие | 名词 | 单数:主格 действие,属格 действия,与格 действию,宾格 действие,工具格 действием,前格 о действии;复数:主格 действия,属格 действий,与格 действиям,宾格 действия,工具格 действиями,前格 о действиях
[231] декан | 名词 | 单数:主格 декан,属格 декана,与格 декану,宾格 декана,工具格 деканом,前格 о декане;复数:主格 деканы,属格 деканов,与格 деканам,宾格 деканов,工具格 деканами,前格 о деканах
[232] декорация | 名词 | 单数:主格 декорация,属格 декорации,与格 декорации,宾格 декорацию,工具格 декорацией,前格 о декорации;复数:主格 декорации,属格 декораций,与格 декорациям,宾格 декорации,工具格 декорациями,前格 о декорациях
[233] делегация | 名词 | 单数:主格 делегация,属格 делегации,与格 делегации,宾格 делегацию,工具格 делегацией,前格 о делегации;复数:主格 делегации,属格 делегаций,与格 делегациям,宾格 делегации,工具格 делегациями,前格 о делегациях
[234] дело | 名词 | 单数:主格 дело,属格 дела,与格 делу,宾格 дело,工具格 делом,前格 о деле;复数:主格 дела,属格 дел,与格 делам,宾格 дела,工具格 делами,前格 о делах
[235] демихов | 名词 | 单数:主格 демих,属格 демиха,与格 демиху,宾格 демиха,工具格 демихом,前格 о демихе;复数:主格 демихи,属格 демихов,与格 демихам,宾格 демихов,工具格 демихами,前格 о демихах
[236] демократ | 名词 | 单数:主格 демократ,属格 демократа,与格 демократу,宾格 демократа,工具格 демократом,前格 о демократе;复数:主格 демократы,属格 демократов,与格 демократам,宾格 демократов,工具格 демократами,前格 о демократах
[237] день | 名词 | 单数:主格 день,属格 дня,与格 дню,宾格 день,工具格 днём,前格 о дне;复数:主格 дни,属格 дней,与格 дням,宾格 дни,工具格 днями,前格 о днях
[238] депутат | 名词 | 单数:主格 депутат,属格 депутата,与格 депутату,宾格 депутата,工具格 депутатом,前格 о депутате;复数:主格 депутаты,属格 депутатов,与格 депутатам,宾格 депутатов,工具格 депутатами,前格 о депутатах
[239] деревня | 名词 | 单数:主格 деревня,属格 деревни,与格 деревне,宾格 деревню,工具格 деревней,前格 о деревне;复数:主格 деревни,属格 деревень,与格 деревням,宾格 деревни,工具格 деревнями,前格 о деревнях
[240] дерево | 名词 | 单数:主格 дерево,属格 дерева,与格 дереву,宾格 дерево,工具格 деревом,前格 о дереве;复数:主格 деревья,属格 деревьев,与格 деревьям,宾格 деревья,工具格 деревьями,前格 о деревьях
[241] дерипаска | 名词 | 单数:主格 дерипаск,属格 дерипаска,与格 дерипаску,宾格 дерипаск,工具格 дерипаском,前格 о дерипаске;复数:主格 дерипаски,属格 дерипасков,与格 дерипаскам,宾格 дерипаски,工具格 дерипасками,前格 о дерипасках
[242] деталь | 名词 | 单数:主格 деталь,属格 детали,与格 детали,宾格 деталь,工具格 деталью,前格 о детали;复数:主格 детали,属格 деталей,与格 деталям,宾格 детали,工具格 деталями,前格 о деталях
[243] детский | 形容词 | 短尾:—,—,—,—;比较级:—
[244] детство | 名词 | 单数:主格 детство,属格 детства,与格 детству,宾格 детство,工具格 детством,前格 о детстве;复数:主格 детства,属格 детств,与格 детствам,宾格 детства,工具格 детствами,前格 о детствах
[245] деятель | 名词 | 单数:主格 деятель,属格 деятеля,与格 деятелю,宾格 деятеля,工具格 деятелем,前格 о деятеле;复数:主格 деятели,属格 деятелей,与格 деятелям,宾格 деятелей,工具格 деятелями,前格 о деятелях
[246] деятельность | 名词 | 单数:主格 деятельность,属格 деятельности,与格 деятельности,宾格 деятельность,工具格 деятельностью,前格 о деятельности;复数:主格 деятельности,属格 деятельностей,与格 деятельностям,宾格 деятельности,工具格 деятельностями,前格 о деятельностях
[247] джем | 名词 | 单数:主格 джема,属格 джемы,与格 джеме,宾格 джему,工具格 джемой,前格 о джеме;复数:主格 джемы,属格 джем,与格 джемам,宾格 джем,工具格 джемами,前格 о джемах
[248] джинсы | 名词 | 单数:主格 джинсы,属格 джинсы,与格 джинсы,宾格 джинсы,工具格 джинсы,前格 о джинсы;复数:主格 джинсы,属格 джинсов,与格 джинсам,宾格 джинсы,工具格 джинсами,前格 о джинсах
[249] диалог | 名词 | 单数:主格 диалог,属格 диалога,与格 диалогу,宾格 диалог,工具格 диалогом,前格 о диалоге;复数:主格 диалоги,属格 диалогов,与格 диалогам,宾格 диалоги,工具格 диалогами,前格 о диалогах
[250] диван | 名词 | 单数:主格 диван,属格 дивана,与格 дивану,宾格 диван,工具格 диваном,前格 о диване;复数:主格 диваны,属格 диванов,与格 диванам,宾格 диваны,工具格 диванами,前格 о диванах
[251] дизайнер | 名词 | 单数:主格 дизайнер,属格 дизайнера,与格 дизайнеру,宾格 дизайнера,工具格 дизайнером,前格 о дизайнере;复数:主格 дизайнеры,属格 дизайнеров,与格 дизайнерам,宾格 дизайнеров,工具格 дизайнерами,前格 о дизайнерах
[252] динияр | 名词 | 单数:主格 динияр,属格 динияра,与格 динияру,宾格 динияра,工具格 динияром,前格 о динияре;复数:主格 динияры,属格 динияров,与格 диниярам,宾格 динияров,工具格 диниярами,前格 о диниярах
[253] диплом | 名词 | 单数:主格 диплом,属格 диплома,与格 диплому,宾格 диплом,工具格 дипломом,前格 о дипломе;复数:主格 дипломы,属格 дипломов,与格 дипломам,宾格 дипломы,工具格 дипломами,前格 о дипломах
[254] дипломат | 名词 | 单数:主格 дипломат,属格 дипломата,与格 дипломату,宾格 дипломата,工具格 дипломатом,前格 о дипломате;复数:主格 дипломаты,属格 дипломатов,与格 дипломатам,宾格 дипломатов,工具格 дипломатами,前格 о дипломатах
[255] директор | 名词 | 单数:主格 директор,属格 директора,与格 директору,宾格 директора,工具格 директором,前格 о директоре;复数:主格 директора,属格 директоров,与格 директорам,宾格 директоров,工具格 директорами,前格 о директорах
